gene	erate	VACWR#	COP	backgroud	absolute	state	exp
gene86	0.0135587583148559	84	G6R	0.21	0.65	Y	3.0952380952381
gene87	0.000586950586950587	85	G7L	0.24	0.48	Y	2
gene88	0.00262704262704263	86	G8R	0.21	0.97	Y	4.61904761904762
gene89	0.00361133458478591	87	G9R	0.21	1.61	Y	7.66666666666667
gene90	0.00154882154882155	88	L1R	0.21	1	Y	4.76190476190476
gene91	0.00609819121447028	89	L2R	0.21	1.6	Y	7.61904761904762
gene92	0.00689589302769819	90	L3L	0.29	0.29	Y	1
gene93	0.00456565656565657	91	L4R	0.21	0.67	Y	3.19047619047619
gene94	0.00452557066730295	92	L5R	0.21	0.4	N	0
gene95	0.00981392876129718	93	J1R	0.21	0.59	Y	2.80952380952381
gene96	0.00592136907926382	94	J2R	0.29	2.48	Y	8.55172413793104
gene97	0.00706523061944749	95	J3R	0.24	1.07	Y	4.45833333333333
gene98	0.000421607378129117	96	J4R	0.24	0.82	Y	3.41666666666667
gene99	0.003208632718942	97	J5L	0.21	0.17	N	0
